"age";"FE_category";"head_rotation_mean";"head_rotation_sd";"head_rotation_min";"head_rotation_max";"head_rotation_n_hr_samples";"head_rotation_n_hr_above_20";"head_rotation_prop_hr_above_20";"pitch_mean";"pitch_sd";"pitch_min";"pitch_max";"pitch_n_hr_samples";"pitch_n_hr_above_20";"pitch_prop_hr_above_20";"yaw_mean";"yaw_sd";"yaw_min";"yaw_max";"yaw_n_hr_samples";"yaw_n_hr_above_20";"yaw_prop_hr_above_20";"roll_mean";"roll_sd";"roll_min";"roll_max";"roll_n_hr_samples";"roll_n_hr_above_20";"roll_prop_hr_above_20"
"4";"Not Visible";"7,80146500832731";"5,14071543102649";"0,5219057900";"26,715970";"553";"12";"0,0216998191681736";"9,17353053737794";"6,96415114357610";"0,047078980";"29,74583";"553";"66";"0,1193490054249548";"6,42939947927667";"7,04950260129258";"0,024956300";"29,95564";"553";"46";"0,0831826401446655";"10,17581842421338";"9,84487544058937";"0,033308290";"92,70476";"553";"33";"0,0596745027124774"
"4";"Negative";"8,48021490135537";"5,24296031142716";"0,0698277165";"28,919460";"11471";"181";"0,0157789207566908";"10,83422754226859";"7,78453353532208";"0,001296668";"32,58290";"11471";"1880";"0,1638915526109319";"6,12620226044216";"6,34089004236196";"0,000129999";"29,99548";"11471";"594";"0,0517827565164327";"7,80111418388467";"6,99825139489584";"0,000537592";"94,28983";"11471";"544";"0,0474239386278441"
"4";"Neutral";"7,91493666711867";"4,84785696308669";"0,0203816600";"29,748510";"172409";"3575";"0,0207355764490253";"9,13272953526948";"6,43623862172863";"0,000316846";"32,06380";"172409";"13031";"0,0755819011768527";"6,69714379896787";"6,35188931030391";"0,000052325";"29,99758";"172409";"10130";"0,0587556334066087";"9,05331064725043";"8,10381940564045";"0,000031656";"133,95690";"172409";"13006";"0,0754368971457407"
"4";"Positive";"8,15827851851870";"4,34143296443640";"0,0408042200";"28,924555";"68585";"900";"0,0131224028577677";"10,48219529295130";"6,57443302392158";"0,000116178";"29,98627";"68585";"6246";"0,0910694758329081";"5,83436174408610";"5,07277379371426";"0,000036618";"29,99847";"68585";"1700";"0,0247867609535613";"8,59406730190304";"7,76370763493643";"0,000053401";"90,54298";"68585";"4644";"0,0677115987460815"
"8";"Not Visible";"11,96527526480132";"5,18925935710744";"1,5872370000";"21,969090";"151";"7";"0,0463576158940397";"14,32941433821192";"8,52987456067999";"0,092905870";"29,89500";"151";"49";"0,3245033112582781";"9,60113619139073";"6,65102782531441";"0,103934200";"26,77317";"151";"7";"0,0463576158940397";"8,94346737086093";"10,49462220630010";"0,108038400";"57,15345";"151";"18";"0,1192052980132450"
"8";"Negative";"9,40266920496276";"5,77673359974832";"0,0487493750";"29,434700";"10205";"645";"0,0632043116119549";"10,70494955445625";"7,56148824674774";"0,001148352";"29,99026";"10205";"1380";"0,1352278294953454";"8,10038885546928";"6,77090784377951";"0,000660676";"29,95615";"10205";"865";"0,0847623713865752";"6,19389892955737";"5,05686667461545";"0,000705961";"64,13300";"10205";"136";"0,0133268005879471"
"8";"Neutral";"9,88729856953360";"5,73220834419610";"0,0348102015";"29,830035";"103040";"6537";"0,0634413819875776";"11,07808100210135";"7,65045817552657";"0,000090621";"29,99639";"103040";"16403";"0,1591906055900621";"8,69651613696586";"7,20414949281320";"0,000049069";"29,99726";"103040";"10628";"0,1031444099378882";"6,51140099341555";"6,00150907665301";"0,000051039";"120,99040";"103040";"2464";"0,0239130434782609"
"8";"Positive";"8,47594586072244";"5,09384686024130";"0,0431930055";"29,341955";"64622";"1968";"0,0304540249450651";"9,52669840780938";"7,04686363659390";"0,000318840";"29,99864";"64622";"6259";"0,0968555600259973";"7,42519331363550";"6,27580785507204";"0,000049945";"29,99574";"64622";"3534";"0,0546872582092786";"5,81587202473910";"5,10278109998146";"0,000105294";"130,12790";"64622";"887";"0,0137259756739191"
