"age";"head_rotation_mean";"head_rotation_sd";"head_rotation_min";"head_rotation_max";"head_rotation_n_hr_samples";"head_rotation_n_hr_above_20";"head_rotation_prop_hr_above_20";"pitch_mean";"pitch_sd";"pitch_min";"pitch_max";"pitch_n_hr_samples";"pitch_n_hr_above_20";"pitch_prop_hr_above_20";"yaw_mean";"yaw_sd";"yaw_min";"yaw_max";"yaw_n_hr_samples";"yaw_n_hr_above_20";"yaw_prop_hr_above_20";"roll_mean";"roll_sd";"roll_min";"roll_max";"roll_n_hr_samples";"roll_n_hr_above_20";"roll_prop_hr_above_20"
"4";"8,00627861779368";"4,73807281944875";"0,0203816600";"29,748510";"253018";"4668";"0,0184492802883589";"9,57575554758109";"6,57459553945869";"0,000116178";"32,58290";"253018";"21223";"0,0838794077891691";"6,43680168800626";"6,04548013337715";"3,6618e-05";"29,99847";"253018";"12470";"0,0492850311045064";"8,87450754363227";"7,97612490136079";"3,1656e-05";"133,9569";"253018";"18227";"0,0720383530025532"
"8";"9,34894681334459";"5,55191153220647";"0,0348102015";"29,830035";"178018";"9157";"0,0514386185666618";"10,49628421133974";"7,46959089810836";"0,000090621";"29,99864";"178018";"24091";"0,1353290116729769";"8,20160941534945";"6,88226680787087";"4,9069e-05";"29,99726";"178018";"15034";"0,0844521340538597";"6,24278018230382";"5,65444385799505";"5,1039e-05";"130,1279";"178018";"3505";"0,0196890202114393"
