participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;head_rotation_mean;pitch_mean;yaw_mean;n;int_partner_mother;int_partner_father
14;1;2;0,848460819392064;0,609960417211838;0,0448817129838228;9,04735223880062;10,18918173291589;7,90552274468536;1284;0;0
15;0;0;0,695003183952878;0,646426788592233;0,0728102140791969;8,88932169674150;6,05200640391384;11,72663698956917;1648;0;1
15;0;1;0,907136449077239;0,593427200565682;0,0399187033686916;3,81508890060968;3,33482898275927;4,29534881846009;1591;1;0
15;0;2;0,993616741247697;0,554989644372038;0,0407150791790905;3,06577612042950;2,78737081950829;3,34418142135071;1688;0;0
15;1;0;0,802558870210216;0,607889330782459;0,0512766848740198;8,92069523327257;9,97882508855890;7,86256537798624;1163;0;1
15;1;1;0,838191003594676;0,569228070819884;0,0491873090805250;8,46230391954067;11,16714070097482;5,75746713810652;1549;1;0
16;0;0;0,694490354150277;0,650045334498141;0,0623229358443540;12,03421105491487;10,38135755355093;13,68706455627881;1345;0;1
16;0;1;0,780374324502438;0,642682551069983;0,0650473629255925;6,89209532532822;6,97657107129613;6,80761957936032;1729;1;0
16;0;2;0,640790093268015;0,660299081812298;0,0469927665585265;7,61474240519061;8,09982670050485;7,12965810987638;1545;0;0
17;0;0;0,892733258663408;0,575574288645091;0,0168226393572472;2,23255405444103;2,45446012000603;2,01064798887603;1823;0;1
17;0;1;0,948045571867253;0,573385962631871;0,0146826317596842;3,53826302641644;3,80599047497779;3,27053557785508;1801;1;0
17;0;2;0,887349170437406;0,592700295950324;0,0114218513423845;3,68998778757667;5,04497420620410;2,33500136894924;1852;0;0
17;1;1;0,995780341569767;0,614506224348958;0,0224055272155922;13,97127095560417;20,72130922395833;7,22123268725000;1536;1;0
17;1;2;0,663313721768837;0,579869591904762;0,0249778228500641;9,00123443256429;10,11177431185034;7,89069455327823;1470;0;0
18;0;0;0,722811764189713;0,589325211677534;0,0276736772161229;15,04343833040901;19,81672225643154;10,27015440438648;1687;0;1
18;0;1;0,955442561205273;0,574770546777055;0,0322317861425548;12,04007373361325;19,72029591726789;4,35985154995860;1691;1;0
18;0;2;0,855908062279877;0,579304892712551;0,0302013669986118;16,36981873297065;24,29984712145749;8,43979034448381;1482;0;0
18;1;0;0,862908861774646;0,649077055016722;0,0555548870797049;16,22117705021823;19,47541876386622;12,96693533657023;1196;0;1
18;1;1;0,915275497172049;0,615571520058997;0,0414826991577653;16,43943522129056;23,47034055575221;9,40852988682891;678;1;0
18;1;2;0,767702323578399;0,632142842874324;0,0490427950999020;12,98666949229044;16,95020417757667;9,02313480700421;1663;0;0
19;0;0;0,658176974661811;0,557135848398329;0,0442930223596130;9,87358899133043;11,46831109117688;8,27886689148398;1436;0;1
19;0;1;0,898777056174748;0,630480386287832;0,0637316174148710;6,20481649114855;6,06737149962384;6,34226148267325;1619;1;0
19;0;2;0,676988205759757;0,562471602351314;0,0537618951284424;9,63891790634855;12,84006616804979;6,43776964464730;1446;0;0
19;1;0;0,904109429433628;0,623108061042945;0,0531943273194930;8,14152208740836;7,87888727379678;8,40415690101994;1304;0;1
19;1;1;0,904508113736947;0,583467814207650;0,0420840567948430;8,14474042122514;9,09559696410273;7,19388387834754;915;1;0
19;1;2;0,832438363197932;0,550966725000000;0,0487105730452987;12,77092109489034;15,91172138664446;9,63012080313623;1336;0;0
20;0;0;0,816614462458953;0,707259999019608;0,0433164854582932;11,41842669092964;15,70824797462514;7,12860540723414;1734;0;1
20;0;1;0,794812071194193;0,695638401779096;0,0602524614930571;11,47513760718606;11,17137711251816;11,77889810185397;1349;1;0
20;0;2;0,940109676001397;0,714764742613636;0,0433287933520259;10,90641121534375;13,20613317965909;8,60668925102841;1760;0;0
20;1;0;0,747903046320768;0,622686736999068;0,0622835917465039;6,90716450704567;8,14627303180801;5,66805598228332;1073;0;1
20;1;1;0,836305083875532;0,666769042481203;0,0555112523750641;5,42611613792262;6,41760365028759;4,43462862555764;1596;1;0
20;1;2;0,805811463499291;0,638854138657407;0,0519289705130564;6,57291915227112;8,56735850250521;4,57847980203704;1728;0;0
21;0;0;0,828330319469560;0,608308536306461;0,0244041554284086;17,98895060739279;23,06812887167524;12,90977234311035;1749;0;1
21;0;1;0,569988809077660;0,612264213317619;0,0205148197007359;15,68345854605775;21,93917896169711;9,42773813041839;1697;1;0
21;0;2;0,577270018684198;0,612065156784741;0,0128307642222270;16,11559144168938;20,42810977656676;11,80307310681199;1835;0;0
21;1;0;0,857835719257892;0,590083066635774;0,0563980420001082;12,21011035643559;17,83079932219463;6,58942139067655;1079;0;1
21;1;1;0,917695384341166;0,602630565339233;0,0516196728796277;11,85364790694322;16,40254291376106;7,30475290012537;1356;1;0
21;1;2;0,825827255694399;0,615125846332046;0,0620770900389952;11,18634254330984;14,37492903239189;7,99775605422780;1036;0;0
22;0;0;0,850338062708005;0,602921839824465;0,0303155053649509;4,27765010969720;2,98640397841251;5,56889624098190;1823;0;1
22;0;1;0,788049278608604;0,616157562831858;0,0258994548081660;5,38085363625277;4,38570527388827;6,37600199861726;1808;1;0
22;0;2;0,666533546325879;0,614219593058824;0,0237636280724876;3,60670881189559;3,34083744137941;3,87258018241176;1700;0;0
22;1;0;0,525233007501705;0,557223434170472;0,0417032832114735;10,81664258829566;10,83487179149239;10,79841338509893;1314;0;1
22;1;1;0,744721242880942;0,590120079937500;0,0421112742080827;9,88325450747000;9,98102030517500;9,78548870976500;1600;1;0
