participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;n
2;8;1;0,836172406126771;0,605730597312704;0,0493548242583002;1228
2;8;2;0,796641186486792;0,571662393934288;0,0453839665428203;1187
3;4;2;0,833611486033918;0,640792983159541;0,0328845198198337;1918
4;4;1;0,731853755155728;0,579485731413613;0,0478295177923190;1528
4;8;1;0,827338285183276;0,558088970422535;0,0506742340617154;1136
4;8;2;0,798120012277471;0,576193336193029;0,0553695389990072;1119
5;4;0;0,893821359000205;0,623582638198589;0,0132836419458720;1843
5;4;1;0,846205107376934;0,622478801910480;0,0136672959698606;1832
5;8;1;0,811513292917811;0,568508447074954;0,0551007022079118;1094
5;8;2;0,898360739853442;0,623326105576441;0,0548695074367605;1596
6;4;0;0,801636984920435;0,558490325667351;0,0343747237797540;974
6;4;1;0,818887619048313;0,596467105568446;0,0431144001920825;1724
6;8;0;0,730595705992823;0,561085681862270;0,0426597871060368;1031
7;4;0;0,762809992987894;0,614507457510730;0,0375590701892510;1631
7;8;1;0,907284135294606;0,675882890800000;0,0668628625050994;1000
8;4;0;0,759775895761114;0,629824918709328;0,0293388287164967;1844
8;4;1;0,704151335202309;0,651113363322368;0,0368157201459417;1824
8;4;2;0,815895271180710;0,587944932648649;0,0342061085890145;1850
8;8;0;0,802485194913254;0,616879623379461;0,0524064187091366;1373
8;8;2;0,709351536669339;0,588735837564767;0,0539094117314988;1158
9;4;0;0,894689580464068;0,612876746438746;0,0417461532891862;1755
9;4;1;0,787046389138665;0,622539961659600;0,0335776607369227;1651
9;4;2;0,892801871977198;0,615005939689441;0,0318628706876734;1610
9;8;0;0,714489739316182;0,581975112704650;0,0490721978562149;1527
9;8;1;0,802263717529410;0,563528888870246;0,0379368134306652;1788
9;8;2;0,827588610036570;0,567717193805919;0,0367748338917355;1453
11;4;0;0,544648368909480;0,618838056804408;0,0176234689193857;1815
11;4;1;0,635875693177157;0,594709996661007;0,0262862583335134;1767
11;4;2;0,771207437780849;0,594038662195122;0,0405785357151997;1804
11;8;0;0,765813417477543;0,595869184331337;0,0402501383707043;1002
13;4;2;0,815820704030115;0,611131571643454;0,0245652307993414;1795
13;8;0;0,744488063990326;0,634053223629630;0,0638245658525643;1350
13;8;1;0,847158246014455;0,639005382159265;0,0439029799321558;1306
13;8;2;0,668197395065723;0,649713724338624;0,0340577670536966;378
14;8;0;0,820921339101858;0,638278811380323;0,0502907741295195;1362
14;8;1;0,694925784923118;0,632925090541781;0,0461070152573635;1089
15;4;0;0,637015170551892;0,646426788592233;0,0728102140791969;1648
15;4;1;0,788084456699346;0,593427200565682;0,0399187033686916;1591
15;8;0;0,741444965419672;0,607889330782459;0,0512766848740198;1163
15;8;1;0,856045794095688;0,569228070819884;0,0491873090805250;1549
16;4;0;0,829514648623327;0,650045334498141;0,0623229358443540;1345
16;4;1;0,710646813434581;0,642682551069983;0,0650473629255925;1729
17;4;0;0,891973899059490;0,575574288645091;0,0168226393572472;1823
17;8;2;0,811168992510712;0,579869591904762;0,0249778228500641;1470
19;4;0;0,795238466172952;0,557135848398329;0,0442930223596130;1436
19;4;1;0,816800311327674;0,630480386287832;0,0637316174148710;1619
19;8;0;0,944533412466818;0,623108061042945;0,0531943273194930;1304
19;8;1;0,857207227077131;0,583467814207650;0,0420840567948430;915
19;8;2;0,749632228448882;0,550966725000000;0,0487105730452987;1336
20;4;0;0,731942564303422;0,707259999019608;0,0433164854582932;1734
20;4;1;0,759760311427942;0,695638401779096;0,0602524614930571;1349
20;8;2;0,776696705618274;0,638854138657407;0,0519289705130564;1728
21;4;0;0,744472091037320;0,608308536306461;0,0244041554284086;1749
21;4;1;0,559662811969844;0,612264213317619;0,0205148197007359;1697
21;4;2;0,659990684400000;0,612065156784741;0,0128307642222270;1835
21;8;0;0,849403465783901;0,590083066635774;0,0563980420001082;1079
21;8;1;0,793081886984882;0,602630565339233;0,0516196728796277;1356
21;8;2;0,781923187400449;0,615125846332046;0,0620770900389952;1036
22;4;0;0,794596696234993;0,602921839824465;0,0303155053649509;1823
22;4;1;0,774042809934128;0,616157562831858;0,0258994548081660;1808
23;4;0;0,812157440017609;0,607340424917492;0,0306053698604553;1212
23;4;1;0,842698186075201;0,612370383171706;0,0247797817265821;1753
23;4;2;0,751106209940368;0,601205152735230;0,0207672084569260;1828
24;4;1;0,705013852404481;0,627608297729790;0,0247723978809850;1806
24;4;2;0,914630841834442;0,628583087458380;0,0283664914716725;1802
24;8;0;0,822210417240520;0,535465382164634;0,0275316883700763;656
24;8;1;0,757764612242446;0,535548958528428;0,0212016170631042;1196
25;4;0;0,690636586061452;0,596260013340684;0,0505108612493239;1814
25;4;2;0,780502772577930;0,607221482461185;0,0467321707700263;1739
25;8;1;0,771714766852443;0,643529000630694;0,0521722764880437;1427
27;4;2;0,898061745442568;0,687559977922784;0,0310951676141314;1839
27;8;1;0,863063113111499;0,697854500658256;0,0401597678248584;1823
27;8;2;0,744726978386269;0,715209531192130;0,0355418123444738;1728
28;4;0;0,788499188419859;0,619050344342291;0,0411771490727169;1414
28;4;1;0,629566391620519;0,631617703069926;0,0362530122337561;1759
29;8;0;0,818710165134706;0,563215083155300;0,0508521184626478;1217
29;8;1;0,795011819944149;0,548879960642093;0,0335396964656926;841
29;8;2;0,828136417326020;0,531526807585335;0,0298999120433141;791
30;4;2;0,743584619324409;0,615639775501114;0,0300247502399411;1796
30;8;0;0,840853374740529;0,597266629763961;0,0407156199208458;1737
31;4;0;0,709720220212933;0,666988127850163;0,0226566826891596;1842
31;4;1;0,618667197857868;0,658136225876461;0,0254964031764715;1797
31;8;0;0,826900654203948;0,591986176956522;0,0572254668450332;1380
31;8;2;0,812748412755453;0,573283225579937;0,0540433595298850;1595
32;8;1;0,775345649105752;0,631192496380619;0,0444074550774328;1713
32;8;2;0,797007119544588;0,619770092051140;0,0470134790102372;1799
33;4;0;0,773947936029288;0,612683644394213;0,0272608420596713;1106
33;4;1;0,699768058326375;0,615443317161017;0,0481583258758946;1416
33;8;0;0,721921867765998;0,559756632692308;0,0344778364379250;624
33;8;1;0,578711526967795;0,597532881877445;0,0531777889341411;1534
34;4;1;0,601432302419802;0,649204131364903;0,0243034572386529;1795
34;8;0;0,776634093832620;0,629306539516129;0,0335962203977145;868
35;4;0;0,760740899378832;0,576164141826135;0,0144172018794663;1829
35;4;1;0,878904763561634;0,623358873115981;0,0245631467245840;1871
35;4;2;0,870732653032321;0,613510730808081;0,0260860782793334;1782
35;8;0;0,755809236212787;0,583253580306346;0,0516275510716828;1371
35;8;1;0,598796424059880;0,611251933689503;0,0488536374588273;1591
35;8;2;0,488053720743946;0,608381384951456;0,0355533718580922;1648
36;4;0;0,837848106625307;0,622932710998878;0,0264627652980239;1782
36;4;1;0,694997906938923;0,600684729821261;0,0212108801714859;2126
36;8;0;0,697142274941318;0,642089317226891;0,0614710303289178;1666
36;8;2;0,679079162474849;0,636794188405797;0,0615151202659451;1380
37;4;0;0,845589270040915;0,625061117212660;0,0240229095479950;1801
37;8;1;0,607739638952454;0,598197729230769;0,0744414195481693;455
37;8;2;0,807811015191059;0,601475377684887;0,0430037291021300;1555
38;4;1;0,560683819426376;0,578230079239590;0,0392346073087036;1657
38;4;2;0,834852796167546;0,568899066219239;0,0328722614636597;1341
38;8;0;0,742382611097555;0,574242766370370;0,0517598569372534;675
38;8;1;0,814440360179822;0,552627853511948;0,0422450881285575;1381
39;4;0;0,676341298245200;0,603343648023256;0,0364786719033618;1720
39;4;1;0,587485630871485;0,637263604963748;0,0393391530235178;1793
39;8;1;0,784879865603060;0,540667600000000;0,0503858051060606;1129
40;4;0;0,758608808503468;0,644040159739555;0,0565300309526710;1843
40;4;1;0,828017232581721;0,623842229196643;0,0460340399270116;1668
40;4;2;0,766925638059989;0,629669301842546;0,0385269323542734;1791
40;8;1;0,808678552325890;0,616553590306122;0,0335988250739511;1568
40;8;2;0,926317986724102;0,620639160561915;0,0195001205236894;961
41;4;0;0,808740620824340;0,677436633897380;0,0320587279702948;1832
41;8;0;0,836317542062769;0,635981443489755;0,0459246348366839;1513
41;8;1;0,670905507372422;0,614314500655201;0,0631804677722750;1221
41;8;2;0,846163332419841;0,608706630037547;0,0583557854432409;799
42;8;2;0,653489715939208;0,593803057550535;0,0411574700676233;1682
44;4;0;0,687048856330999;0,626241981504178;0,0441581710668145;1795
44;4;2;0,790912802918447;0,613419458130312;0,0231926506344683;1765
44;8;0;0,837992831541219;0,627953070756302;0,0501638895368508;595
44;8;1;0,711822347467157;0,626181028458498;0,0557834883023037;1265
45;4;0;0,664946256669212;0,630389482525510;0,0283319197053462;1568
45;4;1;0,574040432453269;0,617145918368902;0,0391067812977255;1312
45;4;2;0,846875173552075;0,625917250057405;0,0364156150719995;1742
46;8;1;0,730404798312799;0,637983306823144;0,0240039891127281;1832
46;8;2;0,758451157901875;0,651049085641605;0,0516014194960206;1769
47;4;0;0,839587618899177;0,673877877183320;0,0362257077470193;1271
47;4;1;0,733395767831429;0,686319968596395;0,0406239487691849;1831
47;8;0;0,541804788213628;0,574018387375000;0,0555876537182064;800
48;4;0;0,761522820776555;0,610676218526663;0,0209076924975549;1819
48;4;2;0,774073348902327;0,625183571231364;0,0221892882744038;1811
49;8;0;0,761585332258571;0,588847945917160;0,0527590258112285;1690
51;4;0;0,880525071999257;0,702460180792853;0,0483324873587726;1791
51;4;1;0,680436110173485;0,680781712132753;0,0180059157604993;1838
51;8;1;0,760476679173494;0,592164289403509;0,0389903340459779;1425
51;8;2;0,806072729673443;0,606099632885086;0,0475961582446820;1636
53;4;0;0,935893062922641;0,635707739073569;0,0238650895561132;1835
53;4;2;0,778545202145883;0,635753703926842;0,0304931714498996;1859
53;8;1;0,802030341186906;0,647330720652174;0,0285860916259329;1564
54;8;2;0,720761491576290;0,634053699274958;0,0527198829749089;1793
55;4;1;0,788189862036118;0,616133259004584;0,0408628537259522;1527
55;4;2;0,788762239216346;0,618663578307509;0,0425773979711425;1678
55;8;2;0,857705170205012;0,673463471683673;0,0654019216884057;1568
57;8;0;0,771194452559483;0,597641887835926;0,0561816089291886;707
57;8;1;0,909493707612404;0,649511322572614;0,0698869061479993;1205
57;8;2;0,706554666576070;0,659406279545454;0,0451992875342963;1364
58;4;0;0,946055918021447;0,652347979352004;0,0400561485527961;1821
58;4;1;0,822300753663168;0,624396356641432;0,0466046887548052;1453
60;4;0;0,839208626908061;0,672128700221117;0,0358936826710786;1809
60;4;1;0,788404962310259;0,701803776229961;0,0418394349077914;1809
60;4;2;0,842104322516404;0,689996347778387;0,0285007277974972;1823
60;8;0;0,930011577123663;0,643602457983193;0,0488628861181483;833
60;8;1;0,862918044710762;0,640005949650838;0,0504383494654861;1432
60;8;2;0,700970236662074;0,662685453529412;0,0515183889268325;1700
61;4;1;0,806263966460321;0,616334131786543;0,0467563839955603;1724
61;8;0;0,828114412104760;0,591797622563418;0,0675211524749783;749
61;8;1;0,792844155517756;0,602382978303748;0,0529292531025912;1521
63;4;2;0,822894210574451;0,622171129405163;0,0172757358843789;1782
63;8;2;0,679543176444003;0,624763980263158;0,0524614005281167;1520
66;4;0;0,841337347539895;0,592222727686473;0,0324436760525561;1582
66;4;1;0,597318062489621;0,600821563710334;0,0354932236288055;1229
66;8;1;0,754540095651207;0,552565772580645;0,0373229607660779;868
