participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;n;int_partner_mother;int_partner_father
30;0;2;0,6345647210350682;0,615639775501114;0,0300247502399411;1796;0;0
30;1;0;0,3000000000000000;0,597266629763961;0,0407156199208458;1737;0;1
31;0;0;0,6467248908296943;0,666988127850163;0,0226566826891596;1842;0;1
31;0;1;0,5393824710954340;0,658136225876461;0,0254964031764715;1797;1;0
31;1;0;0,6430721140204392;0,591986176956522;0,0572254668450332;1380;0;1
31;1;2;0,5163206201404564;0,573283225579937;0,0540433595298850;1595;0;0
32;1;1;0,6529939176581773;0,631192496380619;0,0444074550774328;1713;1;0
32;1;2;0,5125073651507848;0,619770092051140;0,0470134790102372;1799;0;0
33;0;0;0,4899354982206406;0,612683644394213;0,0272608420596713;1106;0;1
33;0;1;0,6580021919827745;0,615443317161017;0,0481583258758946;1416;1;0
33;1;0;0,5216282378273073;0,559756632692308;0,0344778364379250;624;0;1
33;1;1;0,3955548847344242;0,597532881877445;0,0531777889341411;1534;1;0
34;0;1;0,3594525202216173;0,649204131364903;0,0243034572386529;1795;1;0
34;1;0;0,5530826576699135;0,629306539516129;0,0335962203977145;868;0;1
35;0;0;0,6679680970461113;0,576164141826135;0,0144172018794663;1829;0;1
35;0;1;0,7397302268546904;0,623358873115981;0,0245631467245840;1871;1;0
35;0;2;0,6883213597336604;0,613510730808081;0,0260860782793334;1782;0;0
35;1;0;0,3993947175348496;0,583253580306346;0,0516275510716828;1371;0;1
35;1;1;0,5766619605917378;0,611251933689503;0,0488536374588273;1591;1;0
35;1;2;0,4916090265154375;0,608381384951456;0,0355533718580922;1648;0;0
36;0;0;0,8381022805212620;0,622932710998878;0,0264627652980239;1782;0;1
36;0;1;0,2193927181767649;0,600684729821261;0,0212108801714859;2126;1;0
36;1;0;0,7818327778723818;0,642089317226891;0,0614710303289178;1666;0;1
36;1;2;0,4078308823529412;0,636794188405797;0,0615151202659451;1380;0;0
37;0;0;0,3132144855703893;0,625061117212660;0,0240229095479950;1801;0;1
37;1;1;0,6505636070853462;0,598197729230769;0,0744414195481693;455;1;0
37;1;2;0,0343225806451613;0,601475377684887;0,0430037291021300;1555;0;0
38;0;1;0,4530526981590599;0,578230079239590;0,0392346073087036;1657;1;0
38;0;2;0,2329274818664929;0,568899066219239;0,0328722614636597;1341;0;0
38;1;0;0,7691250919475574;0,574242766370370;0,0517598569372534;675;0;1
38;1;1;0,8890322580645161;0,552627853511948;0,0422450881285575;1381;1;0
39;0;0;0,7419354838709677;0,603343648023256;0,0364786719033618;1720;0;1
39;0;1;0,6247666925518726;0,637263604963748;0,0393391530235178;1793;1;0
39;1;1;0,4598437299859101;0,540667600000000;0,0503858051060606;1129;1;0
40;0;0;0,1734480247587839;0,644040159739555;0,0565300309526710;1843;0;1
40;0;1;0,6944256607767618;0,623842229196643;0,0460340399270116;1668;1;0
40;0;2;0,6289948305571511;0,629669301842546;0,0385269323542734;1791;0;0
40;1;1;0,6670703067664758;0,616553590306122;0,0335988250739511;1568;1;0
40;1;2;0,8777494707380961;0,620639160561915;0,0195001205236894;961;0;0
41;0;0;0,5613349780701755;0,677436633897380;0,0320587279702948;1832;0;1
41;1;0;0,8090909090909091;0,635981443489755;0,0459246348366839;1513;0;1
41;1;1;0,5268834553804146;0,614314500655201;0,0631804677722750;1221;1;0
41;1;2;0,7690176322418136;0,608706630037547;0,0583557854432409;799;0;0
42;1;2;0,6845024537955519;0,593803057550535;0,0411574700676233;1682;0;0
44;0;0;0,5252851000186951;0,626241981504178;0,0441581710668145;1795;0;1
44;0;2;0,9414705137939762;0,613419458130312;0,0231926506344683;1765;0;0
44;1;0;0,6624365482233503;0,627953070756302;0,0501638895368508;595;0;1
44;1;1;0,6754081632653062;0,626181028458498;0,0557834883023037;1265;1;0
45;0;0;0,4576819083097999;0,630389482525510;0,0283319197053462;1568;0;1
45;0;1;0,3546281645569620;0,617145918368902;0,0391067812977255;1312;1;0
45;0;2;0,6936207790524337;0,625917250057405;0,0364156150719995;1742;0;0
45;1;1;0,3587435984977808;0,670324506540880;0,0569870789666249;795;1;0
46;1;1;0,5580911094057829;0,637983306823144;0,0240039891127281;1832;1;0
46;1;2;0,1822626146053728;0,651049085641605;0,0516014194960206;1769;0;0
47;0;0;0,4679410707869206;0,673877877183320;0,0362257077470193;1271;0;1
47;0;1;0,7924834487071661;0,686319968596395;0,0406239487691849;1831;1;0
47;1;0;0,4676008492569002;0,574018387375000;0,0555876537182064;800;0;1
48;0;0;0,5946250984901723;0,610676218526663;0,0209076924975549;1819;0;1
48;0;2;0,1343035993740219;0,625183571231364;0,0221892882744038;1811;0;0
49;1;0;0,7142387527002911;0,588847945917160;0,0527590258112285;1690;0;1
51;0;0;0,7224032375220505;0,702460180792853;0,0483324873587726;1791;0;1
51;0;1;0,5210157752981917;0,680781712132753;0,0180059157604993;1838;1;0
51;1;0;0,2681359044995409;0,609765400000000;0,0537858295305719;110;0;1
51;1;1;0,5406567474602032;0,592164289403509;0,0389903340459779;1425;1;0
51;1;2;0,4028823908673721;0,606099632885086;0,0475961582446820;1636;0;0
53;0;0;0,9060927892677474;0,635707739073569;0,0238650895561132;1835;0;1
53;0;1;0,3826806935515293;0,629379159666128;0,0226323423816317;1857;1;0
53;0;2;0,6382835820895523;0,635753703926842;0,0304931714498996;1859;0;0
53;1;1;0,7208946916596700;0,647330720652174;0,0285860916259329;1564;1;0
54;1;2;0,7808597006270160;0,634053699274958;0,0527198829749089;1793;0;0
55;0;1;0,6862754529421196;0,616133259004584;0,0408628537259522;1527;1;0
55;0;2;0,1585482891670094;0,618663578307509;0,0425773979711425;1678;0;0
55;1;2;0,3431301323118244;0,673463471683673;0,0654019216884057;1568;0;0
57;0;0;0,5042796005706134;0,613434634317130;0,0315190316342032;1728;0;1
57;0;1;0,8699759702426018;0,641244993300384;0,0236173112608925;1821;1;0
57;1;0;0,7129828326180258;0,597641887835926;0,0561816089291886;707;0;1
57;1;1;0,8214557636668189;0,649511322572614;0,0698869061479993;1205;1;0
57;1;2;0,1740986019131714;0,659406279545454;0,0451992875342963;1364;0;0
58;0;0;0,9539437396580254;0,652347979352004;0,0400561485527961;1821;0;1
58;0;1;0,7899169632265718;0,624396356641432;0,0466046887548052;1453;1;0
